Pokemon,Encounters
Pansear,90076
Ducklett,90008
Zorua,64048
Kecleon,63944
Falinks,89729
Solosis,64078
Persian-Alolan,89672
Klink,64080
Frogadier,63721
Sinistcha,89983
Taillow,64013
Gourgeist-Small,89646
Brionne,64133
Clefable,128730
Gothorita,64036
Trevenant,89671
Minior-Meteor,64118
Hydrapple,231801
Zigzagoon-Galarian,89668
Larvitar,25834
Hitmontop,90270
Roserade,64518
Phanpy,89374
Flamigo,64324
Dragalge,89676
Cinderace,64314
Pikipek,90010
Thundurus-I,25679
Iron Jugulis,25522
Magcargo,90559
Blissey,127984
Grafaiai,64129
Minccino,128340
Cherrim-Overcast,90146
Ditto,89807
Croagunk,89913
Kangaskhan,90459
Feraligatr,64925
Shedinja,231314
Ambipom,128457
Mareep,64176
Throh,90210
Samurott-Hisuian,64554
Duraludon,90197
Roselia,64294
Calyrex-Shadow Rider,25519
Porygon2,89794
Servine,64296
Delphox,64657
Altaria,231869
Honedge,89493
Dusknoir,128746
Flittle,63718
Quilava,64365
Tranquill,63987
Naganadel,25700
Dwebble,89726
Volbeat,231662
Teddiursa,90113
Indeedee-Female,129212
Tauros (combat),26017
Flapple,231815
Nidoqueen,64124
Capsakid,89599
Paras,89855
Mewtwo,25595
Snorunt,89682
Perrserker,89902
Sandslash,89702
Mismagius,128153
Maushold,128784
Darumaka,64311
Mega Blaziken,64169
Rattata,89792
Muk,89903
Seaking,90211
Remoraid,89992
Slowpoke,89658
Scizor,90052
Duosion,64609
Basculegion-Female,89874
Krabby,89974
Hypno,90137
Gabite,25687
Palossand,89600
Girafarig,89654
Varoom,89434
Beldum,25763
Bombirdier,25599
Furret,90390
Skeledirge,64158
Orbeetle,89627
Kingler,89948
Dragapult,25514
Mega Absol,64063
Empoleon,63761
Slowbro-Galarian,89711
Cleffa,128211
Sizzlipede,89838
Corsola,128347
Naclstack,64299
Snom,89933
Revavroom -Navi,89794
Buzzwole,25504
Diglett,89907
Hakamo-o,25630
Lickitung,90098
Miltank,25833
Sneasel-Hisuian,64682
Delibird,129040
Brute Bonnet,25671
Oddish,64072
Voltorb-Hisuian,90313
Dugtrio,89928
Aegislash-Shield,90416
Zeraora,25841
Golurk,89428
Anorith,231191
Rellor,127910
Kleavor,89959
Oricorio-Pa'u,89660
Lokix,89859
Bastiodon,232107
Sandaconda,90077
Revavroom -Caph,90215
Cinccino,128691
Mega Aggron,25727
Venomoth,90206
Glalie,90594
Ampharos,64366
Sawk,90033
Swalot,179789
Magmar,90216
Helioptile,90004
Darmanitan,63843
Tentacool,25967
Carkol,64090
Pumpkaboo-Small,90303
Typhlosion-Hisuian,63786
Seismitoad,64362
Drapion,25666
Luxio,64392
Shiinotic,89935
Breloom,179372
Necrozma-Dawn Wings,25526
Flaaffy,64147
Hoopa-Unbound,25794
Swanna,89629
Darmanitan Zen,64261
Basculin (Red-Striped),90226
Tinkatuff,64170
White Kyurem,25640
Bisharp,90216
Yamask,89478
Weepinbell,64829
Chandelure,63821
Monferno,64033
Loudred,64183
Rockruff-Own Tempo,90131
Terapagos,25695
Vigoroth,25648
Lanturn,25719
Landorus-T,25661
Florges,89951
Gossifleur,89717
Magearna,25525
Archaludon,90144
Yamask-Galarian,89653
Klefki,128803
Purugly,128587
Wailord,179563
Mr. Rime,89945
Arctovish,25814
Petilil,90029
Cascoon,90463
Timburr,63856
Ursaring,89659
Toxapex,90216
Chien-Pao,25779
Cranidos,230268
Watchog,89968
Crobat,89687
Binacle,89997
Diggersby,90305
Froslass,90279
Ariados,128580
Iron Crown,25560
Bergmite,90102
Medicham,90511
Dunsparce,89721
Leavanny,64477
Greninja,64280
Zigzagoon,90138
Landorus-I,25428
Haunter,64126
Gothitelle,63749
Scovillain,89322
Iron Thorns,25759
Masquerain,89976
Ninjask,230797
Omanyte,89812
Inkay,90051
Nuzleaf,64162
Unfezant,64215
Greedent,89933
Solrock,128731
Swoobat,89675
Mega Lucario,64629
Gardevoir,25822
Psyduck,89978
Meowstic ♀,89809
Happiny,128786
Burmy,89682
Cherubi,89869
Slowpoke-Galarian,89292
Mega Tyranitar,25842
Spoink,128782
Nihilego,25946
Emolga,89835
Rhyperior,25568
Gourgeist-Large,89475
Leafeon,89891
Natu,90376
Fezandipiti,25782
Amaura,90124
Venonat,89825
Ivysaur,63979
Musharna,128394
Plusle,89976
Rotom-Fan,89839
Wiglett,90079
Fennekin,64100
Mega Mewtwo Y,25797
Igglybuff,128381
Glimmet,63997
Corviknight,64113
Cherrim-Sunshine,89593
Oinkologne-F,90147
Dubwool,90254
Silvally-Ghost,25540
Yveltal,26099
Torchic,63934
Camerupt,90272
Sandshrew-Alolan,90052
Raichu-Alolan,90529
Rotom-W,90252
Totodile,64292
Aurorus,90131
Zapdos,25939
Applin,231561
Meowth-Galarian,89583
Archeops,89806
Vikavolt,89962
Krokorok,64516
Charmander,63914
Spidops,231312
Lunala,25600
Kingdra,90327
Zoroark,64240
Kakuna,89603
Baltoy,89877
Zorua-Hisuian,64292
Hoppip,63740
Braviary-Hisuian,25614
Crocalor,64623
Carracosta,89669
Sinistea,90523
Enamorus-T,25605
Mega Beedrill,90304
Pansage,89971
Grimmsnarl,90257
Rockruff,90027
Moltres,25546
Brambleghast,90015
Lucario,64197
Pumpkaboo-Super,89902
Dewgong,89726
Decidueye-Hisuian,64019
Nickit,128494
Parasect,89958
Mega Mawile,128466
Comfey,128342
Accelgor,90137
Foongus,89681
Pumpkaboo-Average,89673
Mawile,128800
Poliwrath,64445
Jirachi,25572
Mr. Mime,90266
Tapu Lele,25948
Wishiwashi-Solo,128172
Orthworm,25600
Ogerpon -Hearthflame Mask,25603
Bayleef,64671
Wormadam-Trash,89516
Voltorb,89285
Shaymin-Sky form,64456
Entei,25538
Drilbur,90119
Vaporeon,90099
Muk-Alolan,89751
Serperior,64185
Audino,128117
Marowak-Alolan,89670
Rowlet,64133
Lycanroc (Midnight),90381
Shellos,89954
Tyrogue,89991
Typhlosion,64014
Munna,128303
Hatenna,25413
Mega Kangaskhan,90218
Meowscarada,64082
Sandshrew,89778
Donphan,89857
Dragonair,25682
Geodude,63559
Dialga-Orgin,25972
Wobbuffet,90106
Lycanroc (Midday),89806
Mabosstiff,64367
Sliggoo,25618
Wurmple,89903
Lopunny,89642
Rattata-Alolan,89902
Skiploom,63913
Grimer,90140
Dracozolt,25604
Armarouge,25613
Cursola,128683
Thwackey,64603
Pawmi,89492
Litleo,64499
Cufant,89858
Tandemaus,128639
Snubbull,127607
Wynaut,89820
Scorbunny,64153
Amoonguss,90379
Garchomp,25445
Rapidash-Galarian,89924
Mega Lopunny,90985
Mega Charizard Y,63912
Veluza,128291
Stunky,90323
Finneon,230888
Impidimp,90028
Pancham,89907
Phione,25928
Swadloon,64313
Lileep,231589
Wooloo,89773
Sobble,64844
Wingull,89676
Klinklang,63848
Stunfisk,89814
Claydol,89840
Wartortle,63953
Grotle,64361
Farigiraf,89959
Hitmonlee,90136
Rolycoly,64539
Pelipper,90759
Shuppet,128228
Crustle,90319
Chikorita,64250
Sandslash-Alolan,90047
Salamence,25885
Lampent,63823
Tyrunt,90316
Snivy,64392
Vivillon,89902
Grimer-Alolan,89971
Hitmonchan,89997
Virizion,25897
Dusclops,128415
Dustox,90508
Bunnelby,90088
Druddigon,89719
Weezing,90105
Aerodactyl,25620
Mega Steelix,89295
Aegislash-Blade,89405
Iron Moth,25739
Glaceon,89732
Toedscool,64036
Smoochum,89772
Lunatone,128495
Gourgeist-Super,89809
Terapagos -Stellar Form,25712
Fearow,90207
Vulpix-Alolan,89930
Clobbopus,64228
Cacturne,64150
Houndstone,64072
Silvally-Poison,25672
Arceus-Steel,25526
Whismur,64281
Magby,89751
Eiscue-Noice Face,25554
Arceus-Rock,25686
Mega Sharpedo,25602
Maractus,90083
Sirfetch'd,89731
Poliwag,64190
Tapu Bulu,25836
Bidoof,90242
Castform,89650
Meditite,89502
Jumpluff,64170
Houndoom,25832
Guzzlord,25769
Kabuto,89972
Tauros (blaze),25985
Morelull,89736
Indeedee-Male,128276
Fidough,64633
Crabominable,89524
Silvally-Water,25789
Tangrowth,90099
Silvally-Fairy,25727
Turtonator,90000
Sliggoo-Hisuian,25529
Dodrio,90213
Revavroom -Segin,89888
Zygarde-Complete,25879
Rotom,90677
Zebstrika,89975
Gorebyss,230767
Gliscor,64169
Sceptile,64130
Darmanitan Zen-Galarian,63802
Chingling,127871
Mega Gallade,25840
Togepi,128778
Mienfoo,64201
Quaquaval,64195
Victreebel,64287
Dragonite,25968
Gligar,64262
Ting-Lu,25753
Boltund,128176
Sewaddle,64076
Skrelp,89982
Lairon,25420
Simipour,90226
Lombre,64217
Mesprit,25601
Tyrantrum,90025
Scraggy,89956
Maschiff,63954
Jynx,90157
Flabébé,89420
Magikarp,25674
Treecko,64648
Mightyena,90161
Dottler,90091
Espeon,90154
Skiddo,90353
Yanmega,90179
Buizel,89852
Spheal,63822
Swellow,64807
Slurpuff,89877
Mega Blastoise,64100
Tapu Fini,25524
Gastly,64566
Yanma,90306
Whirlipede,63900
Budew,64023
Luvdisc,129259
Pupitar,25803
Silvally-Dark,25946
Spinda,128171
Simisage,89609
Crabrawler,89901
Arbok,90056
Marowak,89655
Gulpin,180349
Trumbeak,89734
Stufful,90166
Palpitoad,64316
Grapploct,63800
Toxicroak,89807
Nidoking,64267
Diancie,25774
Torterra,64619
Inteleon,64142
Morgrem,89955
Luxray,64295
Squawkabilly -Green/Blue,230143
Wo-Chien,25616
Granbull,128447
Meganium,64121
Pidove,64369
Oricorio-Pom Pom,89699
Goldeen,89694
Celebi,64565
Magnemite,90155
Tauros (Aqua),25697
Darumaka-Galarian,63908
Herdier,64518
Mew,64415
Staravia,64370
Cutiefly,89650
Meowth,90545
Raticate-Alolan,89841
Type: Null,25492
Lilligant,90170
Floatzel,90301
Sandile,64306
Karrablast,90188
Litten,64028
Nidorina,64364
Emboar,64289
Duskull,128576
Espurr,89955
Zoroark-Hisuian,64173
Litwick,65029
Pawmot,90092
Primarina,63906
Kommo-o,25779
Moltres-Galarian,25646
Lechonk,89810
Mega Charizard X,64091
Shelmet,90500
Onix,89835
Silvally-Fighting,25635
Conkeldurr,64662
Mega Swampert,64532
Alcremie,90118
Marshtomp,64327
Malamar,89873
Gumshoos,90161
Chesnaught,64281
Vanillish,25765
Trubbish,89844
Calyrex,25975
Skwovet,89689
Quaxwell,64233
Bellibolt,90414
Combusken,64401
Rabsca,129019
Pikachu,89661
Machamp,64161
Nidoran♂,64400
Solgaleo,25837
Lilligant-Hisuian,89323
Cottonee,90298
Frigibax,25614
Cubone,90058
Probopass,89810
Swirlix,89872
Seviper,180234
Mantine,25628
Chimchar,64029
Diglett-Alolan,89886
Pincurchin,89728
Beedrill,89663
Ribombee,89160
Beartic,89886
Ursaluna -Bloodmoon,90001
Regidrago,25425
Lickilicky,90341
Slowking-Galarian,89512
Mantyke,25596
Sneasel,64187
Lycanroc (Dusk),89788
Stoutland,64248
Minior-Core,63993
Clauncher,25610
Staraptor,64119
Krookodile,64210
Tadbulb,90260
Charizard,63954
Sneasler,63915
Grookey,63788
Froakie,64243
Oranguru,25526
Mega Gengar,64006
Chespin,64039
Starly,63988
Zamazenta-Crowned,25773
Poltchageist,90161
Beheeyem,89758
Sprigatito,64072
Persian,89954
Croconaw,63958
Noctowl,90469
Avalugg-Hisuian,89870
Kilowattrel,64040
Drakloak,25800
Ferroseed,90393
Turtwig,64486
Elekid,89973
Quaxly,64650
Milcery,90005
Alomomola,127910
Pachirisu,90292
Mime Jr.,89634
Doduo,90222
Deerling,89769
Wooper -Paldean,89901
Seadra,89783
Cacnea,64359
Stakataka,25625
Latias,25789
Barboach,90451
Darmanitan-Galarian,64151
Squirtle,64584
Staryu,25932
Pidgeot,63857
Fomantis,89857
Mega Camerupt,90583
Scrafty,90321
Mega Sceptile,64643
Tinkatink,64831
Dewpider,90108
Tsareena,63885
Whiscash,89776
Vibrava,63978
Nymble,89402
Slowbro,90113
Silvally-Ice,25786
Pyroar,64240
Electabuzz,89670
Black Kyurem,25591
Porygon-Z,89878
Politoed,64455
Charcadet,25837
Torkoal,90517
Annihilape,90222
Seel,89854
Ralts,25762
Pidgey,64222
Revavroom -Schedar,89718
Weedle,90034
Spritzee,89860
Wugtrio,90218
Tornadus-I,25850
Bronzor,89963
Silvally-Psychic,25656
Boldore,64067
Tangela,89826
Thundurus-T,25663
Necrozma,25865
Basculin (White-Striped),89886
Vanillite,25638
Gothita,64223
Doublade,90238
Raging Bolt,25688
Slakoth,25620
Centiskorch,88980
Toedscruel,63783
Hippopotas,25966
Eelektross,25613
Minun,89737
Eelektrik,25610
Overqwil,89687
Mega Gardevoir,25593
Toucannon,89602
Mudsdale,89814
Ninetales,90124
Poochyena,90001
Shuckle,63977
Drizzile,64317
Articuno-Galarian,25939
Gastrodon,89750
Carbink,25573
Tyranitar,25504
Palkia-Orgin,25790
Reshiram,25853
Pineco,90081
Cubchoo,89630
Honchkrow,64179
Genesect,25718
Grubbin,90034
Revavroom,90406
Dialga,25741
Iron Leaves,25516
Flareon,90295
Scream Tail,25624
Axew,25670
Arceus-Flying,25683
Magneton,89900
Torracat,64043
Rillaboom,63876
Wimpod,90301
Palafin -Zero Form,25402
Mega Garchomp,25816
Articuno,25600
Cofagrigus,89962
Pumpkaboo-Large,89723
Klang,64601
Nidorino,64157
Cresselia,25751
Hawlucha,90135
Tympole,64386
Zygarde-10%,25371
Rufflet,25688
Roggenrola,64127
Arcanine,25794
Scatterbug,90295
Regirock,25840
Deoxys-Attack,25659
Okidogi,25413
Ash-Greninja,63665
Mamoswine,25734
Clodsire,90192
Absol,64116
Rotom-H,89302
Kubfu,25659
Frosmoth,89625
Steenee,64789
Lurantis,89880
Gengar,64118
Sawsbuck,90038
Mega Aerodactyl,25878
Braixen,64641
Mudkip,64468
Coalossal,64475
Electivire,90180
Obstagoon,89939
Chansey,128402
Hippowdon,25643
Gible,25644
Pawmo,90005
Zacian-Crowned,25629
Dugtrio-Alolan,89476
Heliolisk,89978
Klawf,89888
Drowzee,89777
Ogerpon -Wellspring Mask,25825
Wyrdeer,25591
Popplio,64006
Arrokuda,25858
Lillipup,64644
Iron Boulder,25356
Zubat,89814
Mega Sableye,64230
Venipede,64761
Larvesta,25673
Riolu,64428
Charjabug,89623
Lotad,64378
Ceruledge,25980
Mr. Mime-Galarian,89746
Simisear,89288
Mega Salamence,25391
Dedenne,90154
Kadabra,64158
Shelgon,25604
Arceus-Grass,25588
Tinkaton,64398
Arboliva,64081
Butterfree,89579
Revavroom -Ruchbah,89676
Exeggcute,25914
Electrode,90361
Reuniclus,64316
Celesteela,25588
Mega Diancie,25536
Eevee,89642
Silvally-Fire,25703
Polteageist,89814
Skorupi,25747
Patrat,90099
Bouffalant,90155
Arceus-Bug,25681
Deoxys,25709
Wattrel,64273
Slither Wing,25747
Slugma,89270
Poipole,25725
Furfrou,89804
Graveler,64381
Durant,90254
Carvanha,25731
Sharpedo,25832
Scolipede,64043
Castform-Rainy,90239
Lugia,25626
Smoliv,63910
Silvally-Grass,25270
Charmeleon,64098
Lapras,25570
Vileplume,64353
Meowstic ♂,89783
Glastrier,26083
Eternamax Eternatus,25710
Gallade,25821
Giratina-Origin,25808
Mega Alakazam,64182
Ludicolo,64264
Salandit,90348
Garganacl,64090
Ho-Oh,25887
Sigilyph,90275
Roaring Moon,25432
Piloswine,25951
Mega Medicham,89758
Pawniard,89751
Baxcalibur,25654
Iron Hands,25556
Gigalith,64214
Sableye,64098
Alakazam,64343
Vullaby,25833
Arceus-Psychic,25761
Sunflora,64322
Venusaur,63949
Exeggutor-Alolan,25862
Linoone,90031
Kricketot,64413
Tatsugiri,64087
Frillish,90124
Eldegoss,89364
Blitzle,90300
Murkrow,63908
Rookidee,64919
Shellder,25888
Toxtricity,64135
Basculegion-Male,90156
Hatterene,25609
Relicanth,25866
Corvisquire,63961
Aromatisse,89781
Grovyle,64055
Vanilluxe,25837
Haxorus,25581
Pinsir,25598
Barbaracle,90678
Cetoddle,64960
Growlithe-Hisuian,25860
Decidueye,64177
Shinx,63990
Wormadam-Plant,90328
Slaking,25617
Goodra-Hisuian,25484
Swablu,230783
Rapidash,90356
Stantler,25887
Volcarona,25558
Dolliv,64144
Porygon,89768
Kirlia,25573
Ogerpon,25617
Machop,64351
Mega Venusaur,64297
Komala,25521
Tornadus-T,25837
Mega Ampharos,64296
Graveler-Alolan,64587
Mienshao,64454
Pheromosa,25908
Rayquaza,25542
Tapu Koko,25695
Finizen,25747
Arceus-Fighting,25631
Enamorus-I,25671
Palafin -Hero Form,25558
Arceus-Fairy,25760
Golem-Alolan,64011
Aggron,25727
Meloetta-Pirouette,26037
Yungoos,89844
Snover,25732
Mega Latios,25525
Glimmora,64463
Floragato,64046
Primal Kyogre,25587
Walking Wake,25656
Exeggutor,25761
Silcoon,89874
Regice,25681
Electrike,25878
Raichu,90525
Glameow,128174
Seedot,63960
Latios,25711
Liepard,89856
Uxie,25927
Raboot,64426
Hoopa-Confined,25860
Cyclizar,64146
Aron,25520
Iron Bundle,25847
Mega Pidgeot,63953
Silvally-Flying,25799
Bounsweet,64218
Zygarde-50%,25743
Exploud,64180
Blacephalon,25778
Ogerpon -Cornerstone Mask,25679
Silvally-Electric,25650
Iron Treads,25719
Pecharunt,25830
Tepig,64309
Cosmog,25947
Dracovish,25642
Swinub,25715
Greavard,64486
Phantump,89728
Urshifu-Single Strike,25646
Necrozma-Dusk Mane,25517
Dondozo,25563
Mega Mewtwo X,25469
Urshifu-Rapid Strike,25508
Metang,25746
Jolteon,90069
Ponyta,90021
Tynamo,25773
Deino,25799
Terapagos -Terastal Form,25705
Kyogre,25632
Dartrix,64349
Arceus-Electric,25495
Arcanine-Hisuian,25483
Fraxure,25706
Heatran,25682
Rhydon,25664
Ultra Necrozma,25733
Golem,63451
Tentacruel,25730
Arceus-Dragon,25767
Mimikyu,89799
Darkrai,25633
Deoxys-Defense,25410
Heracross,25455
Combee,64309
Mega Rayquaza,25717
Clawitzer,25634
Weavile,64170
Arceus-Fire,25606
Meloetta-Aria,25662
Chinchou,25556
Eternatus,25808
Spectrier,25989
Hydreigon,25693
Rhyhorn,25804
Gouging Fire,25619
Castform-Snowy,90225
Spewpa,90321
Chatot,64141
Iron Valiant,25660
Gimmighoul,25879
Rotom-Mow,90132
Volcanion,25625
Groudon,25694
Tropius,25734
Mega Manectric,25585
Keldeo,25637
Goodra,25806
Metagross,25440
Gyarados,26116
Mega Houndoom,25865
Passimian,25990
Xerneas,25646
Tauros,25704
Xurkitree,25784
Arctozolt,25296
Miraidon,25829
Eiscue-Ice Face,25754
Abomasnow,25451
Melmetal,25764
Arceus-Ice,25662
Kartana,25597
Mandibuzz,25862
Zacian,25786
Arceus-Water,25639
Flutter Mane,25815
Giratina,25659
Silvally-Bug,25664
Arctibax,25489
Bagon,25666
Zweilous,25426
Dratini,25427
Vespiquen,64151
Silvally-Ground,25606
Zekrom,25713
Poliwhirl,64215
Mega Gyarados,25758
Koraidon,25704
Growlithe,25609
Meltan,25638
Barraskewda,25601
Marshadow,25518
Raikou,25724
Cloyster,25784
Deoxys-Speed,25712
Azelf,25764
Suicune,25603
Mega Abomasnow,25661
Munkidori,25533
Silvally-Rock,25779
Terrakion,25795
Great Tusk,25844
Silvally-Steel,25659
Jangmo-o,25833
Regigigas,25730
Snorlax,26090
Munchlax,25298
Victini,25643
Chi-Yu,25916
Braviary,25690
Primal Groudon,25865
Kyurem,25794
Mega Pinsir,25669
