Pokemon,Encounters
Quilladin,64639
Whimsicott,90561
Zamazenta,25884
Forretress,89471
Umbreon,89727
Milotic,230942
Arceus-Ground,25685
Bibarel,90388
Dachsbun,63841
Manaphy,25749
Electrode-Hisuian,89812
Jellicent,89879
Omastar,89487
Ledyba,128688
Golbat,90446
Basculin (Blue-Striped),90336
Escavalier,90352
Geodude-Alolan,64050
Azumarill,128316
Magmortar,89506
Sandy Shocks,25636
Gogoat,90246
Armaldo,231008
Blaziken,64381
Mega Altaria,231213
Beautifly,90207
Pichu,90162
Arceus-Normal,25807
Golisopod,89803
Pangoro,90054
Lumineon,230711
Wigglytuff,127495
Houndour,25647
Slowking,89908
Nidoran♀,64084
Joltik,90271
Unown,89729
Goomy,25705
Flygon,64052
Morpeko,90495
Farfetch'd,90061
Hoothoot,89630
Sunkern,64126
Excadrill,90027
Arceus-Dark,25673
Kricketune,64369
Surskit,89815
Mega Heracross,25573
Walrein,64147
Cetitan,64036
Regieleki,25676
Starmie,25912
Purrloin,89850
Rampardos,231682
Pignite,63846
Mankey,90266
Ekans,90329
Mega Audino,128393
Skuntank,90257
Bulbasaur,64492
Dewott,64580
Manectric,25474
Ursaluna,90312
Wailmer,180219
Shiftry,64296
Qwilfish,89697
Silicobra,90026
Shaymin,64434
Aipom,128471
Dudunsparce,89997
Squawkabilly -Yellow/White,231044
Corphish,179154
Wooper,90062
Panpour,89983
Xatu,89862
Trapinch,64816
Dreepy,25480
Bellossom,64095
Sentret,90003
Metapod,90219
Clefairy,128154
Copperajah,89290
Ferrothorn,89789
Galvantula,89948
Silvally-Normal,25745
Swampert,64488
Gourgeist-Average,90307
Feebas,230653
Drampa,90177
Appletun,231668
Meowth-Alolan,89668
Spiritomb,90152
Runerigus,90380
Fuecoco,64267
Marill,128210
Sylveon,90480
Fletchinder,64243
Bruxish,89873
Makuhita,179742
Spearow,90354
Archen,89997
Bellsprout,64098
Heatmor,90022
Shroodle,63846
Elgyem,90237
Illumise,179193
Araquanid,89721
Oinkologne-M,90374
Mareanie,89779
Zapdos-Galarian,25823
Silvally-Dragon,25506
Pyukumuku,128647
Garbodor,89643
Fletchling,64020
Nosepass,89686
Ninetales-Alolan,90258
Nacli,64019
Infernape,64164
Woobat,89831
Noibat,90076
Hattrem,25588
Oricorio-Sensu,90058
Mega Glalie,89890
Sandygast,89964
Zangoose,230677
Weezing-Galarian,90336
Floette,89715
Chewtle,89963
Skarmory,25626
Togekiss,127651
Cobalion,25843
Cryogonal,89350
Caterpie,90039
Qwilfish-Hisuian,89690
Blastoise,63944
Octillery,89757
Wormadam-Sandy,90111
Prinplup,64393
Dipplin,231902
Cosmoem,25880
Zarude,25503
Shieldon,231654
Ledian,128839
Bewear,89965
Gurdurr,64198
Nincada,231475
Piplup,64462
Oshawott,64288
Corsola-Galarian,128667
Abra,64427
Chimecho,128197
Registeel,25851
Palkia,25623
Wishiwashi-School,128603
Ponyta-Galarian,89701
Avalugg,90501
Machoke,64145
Carnivine,25741
Horsea,89734
Dhelmise,89553
Banette,128325
Gloom,64339
Blipbug,90106
Rotom-F,89682
Mega Scizor,90111
Cradily,231368
Farfetch'd-Galarian,89993
Cyndaquil,63907
Mega Banette,128224
Steelix,89801
Pidgeotto,64526
Magnezone,89679
Stonjourner,25572
Yamper,127702
Mega Latias,25349
Huntail,230962
Sealeo,64288
Koffing,89823
Mothim,90540
Scyther,89727
Arceus-Ghost,25453
Clamperl,231304
Drifblim,179479
Azurill,128733
Kingambit,90227
Tirtouga,89964
Mudbray,90625
Quagsire,89706
Tarountula,231233
Gholdengo,25591
Drifloon,179919
Togedemaru,89857
Thievul,128804
Drednaw,89952
Spinarak,128222
Noivern,89888
Golett,89877
Buneary,89885
Kabutops,89897
Vulpix,89886
Crawdaunt,180056
Grumpig,128596
Talonflame,63981
Bronzong,89771
Oricorio-Baile,90246
Jigglypuff,128838
Numel,89670
Calyrex-Ice Rider,25688
Arceus-Poison,25710
Cramorant,89876
Bramblin,89535
Sudowoodo,90026
Mega Metagross,25525
Shroomish,179716
Espathra,64321
Castform-Sunny,89865
Skitty,128170
Hariyama,179740
Incineroar,64569
Delcatty,128589
Bonsly,89819
Toxel,64178
Salazzle,89936
Samurott,64134
Togetic,128518
Misdreavus,128792
Raticate,89785
Primeape,89689
Golduck,89523
Mega Slowbro,89661
Linoone-Galarian,89595
Smeargle,127918
