Run_Name,Completion_Date,Shiny_Modifier,Shiny_Rate,Guaranteed_Catch,Completion_Status,Total_Encounters,Total_Runtime_Hours,Total_Runtime_Days,Avg_Encounters_Per_Second,Avg_Shinies_Per_Second,Total_Shiny_Encounters,Total_Shinies_Caught,Total_Shinies_Missed,Catch_Success_Rate_Percent,Unique_Shinies_Caught,Unique_Normals_Encountered,Actual_Shiny_Rate,Expected_Shinies,Shiny_Variance_Percent,Total_Pokemon_In_Dex,Shiny_Rate_Decimal,Actual_Shiny_Rate_Decimal,Predicted_Total_Encounters,Prediction_Difference,Prediction_Difference_Percent
shinyCharmandCatchRate,2025-10-13 23:31:59,charm,,True,Complete,17242124,0.17,0.01,27517.99,20.4875,12837,12837,0,100.0,1240,1240,,12628,1.65,1240,0.0007324397568300008,0.000744513842958095,34679171.483569205,-17437047.483569205,-50.28
Baseline,2025-10-13 23:15:22,standard,,False,Incomplete,81178000,0.72,0.03,31443.32,3.4341,19680,8866,10814,45.05,1023,1240,,19818,-0.7,1240,0.000244140625,0.0002424302150829,6017362049.832193,-5936184049.832193,-98.65
progressbartest,2025-10-13 22:44:55,both,,True,Complete,8237359,0.07,0.0,30828.64,60.5131,16169,16169,0,100.0,1240,1240,,16088,0.5,1240,0.001953125,0.0019628864057035,13005006.81138756,-4767647.811387559,-36.66
improvedoutput,2025-10-13 22:25:54,both,,True,Complete,9996206,0.09,0.0,30151.01,58.9585,19547,19547,0,100.0,1240,1240,,19523,0.12,1240,0.001953125,0.0019554418946548,,,
SimResultsTest,2025-10-13 21:56:50,both,1/512,True,Complete,17201909,0.15,0.01,31858.27,61.8834,33414,33414,0,100.0,1240,1240,1/514,33597,-0.55,1240,,,,,
