Pokemon,Encounters
Dewgong,507
Latias,143
Nincada,1301
Charmander,389
Misdreavus,745
Escavalier,485
Banette,763
Toxapex,485
Finneon,1300
Tarountula,1332
Zubat,516
Amaura,536
Floragato,349
Lickilicky,543
Cranidos,1364
Paras,516
Annihilape,450
Cinderace,317
Thievul,737
Mawile,713
Clodsire,492
Blitzle,510
Tandemaus,744
Rillaboom,363
Togetic,764
Ogerpon,149
Chewtle,506
Arboliva,350
Golurk,524
Abra,383
Quaxly,367
Crabominable,496
Wingull,519
Gourgeist-Average,549
Tyrunt,526
Spoink,723
Blipbug,496
Mudbray,525
Jigglypuff,711
Panpour,498
Rotom-Fan,506
Toxel,380
Yungoos,468
Registeel,132
Swanna,515
Silicobra,507
Sandshrew,538
Poochyena,509
Morpeko,529
Geodude-Alolan,349
Skuntank,493
Grimer-Alolan,499
Cetitan,370
Weedle,514
Kecleon,382
Clefable,674
Dragalge,488
Porygon,513
Ledyba,738
Drifloon,1047
Spinda,700
Crawdaunt,1038
Jellicent,473
Mr. Mime,503
Steelix,495
Shaymin-Sky form,381
Fidough,363
Bronzong,522
Tentacruel,139
Pinsir,132
Wooper,515
Shaymin,379
Sirfetch'd,540
Ninjask,1276
Granbull,698
Iron Valiant,131
Snubbull,744
Lampent,346
Revavroom -Ruchbah,500
Rellor,748
Mega Abomasnow,141
Turtonator,510
Litten,384
Mabosstiff,385
Claydol,489
Totodile,371
Bellsprout,335
Swadloon,364
Vigoroth,150
Bastiodon,1260
Chatot,344
Pawmot,489
Grovyle,356
Basculin (White-Striped),497
Ampharos,361
Wailmer,1076
Grookey,339
Swablu,1354
Heracross,162
Dialga-Orgin,148
Archaludon,575
Rhyhorn,140
Zoroark-Hisuian,361
Obstagoon,503
Crabrawler,559
Mr. Rime,488
Kabuto,477
Cacnea,367
Numel,499
Miltank,129
Munna,757
Rampardos,1358
Drifblim,1042
Sealeo,355
Mega Glalie,509
Bibarel,519
Bruxish,513
Primarina,367
Gigalith,333
Archeops,493
Mismagius,731
Chingling,725
Remoraid,522
Drampa,512
Rotom,505
Lairon,143
Cofagrigus,532
Xatu,520
Poliwag,364
Nickit,725
Sawk,509
Piloswine,144
Pincurchin,503
Mankey,487
Pawmo,517
Purugly,778
Tangela,539
Milotic,1339
Gulpin,997
Shiinotic,513
Toxtricity,339
Blissey,770
Pyroar,325
Zoroark,362
Hippowdon,165
Arceus-Poison,129
Dewpider,484
Wynaut,490
Linoone,514
Muk,502
Yanma,525
Lileep,1241
Magikarp,133
Blacephalon,150
Shuppet,718
Mega Ampharos,334
Hoppip,406
Mightyena,496
Gourgeist-Small,525
Ferroseed,543
Hitmonchan,521
Walrein,347
Anorith,1333
Wiglett,541
Probopass,513
Reshiram,146
Dubwool,463
Mothim,494
Unown,478
Venusaur,335
Litleo,380
Cursola,711
Aromatisse,545
Honchkrow,380
Indeedee-Female,754
Throh,500
Kleavor,493
Crobat,538
Naganadel,126
Pumpkaboo-Average,520
Cherrim-Overcast,512
Arcanine,150
Trubbish,481
Noibat,522
Conkeldurr,384
Nidoran♂,382
Corphish,1030
Bidoof,504
Moltres-Galarian,140
Mega Banette,675
Morgrem,548
Bisharp,529
Mega Steelix,495
Gossifleur,462
Lanturn,144
Torkoal,529
Onix,507
Heliolisk,479
Pansear,502
Mega Blastoise,403
Mareanie,541
Alcremie,489
Cetoddle,388
Snom,534
Golett,480
Passimian,139
Ditto,509
Unfezant,347
Phanpy,494
Farfetch'd,455
Mega Audino,736
Golem-Alolan,366
Silvally-Poison,141
Klawf,506
Forretress,529
Venipede,367
Vibrava,376
Shelmet,525
Luvdisc,743
Tadbulb,486
Dipplin,1243
Magnezone,503
Zapdos,141
Solrock,687
Electivire,472
Scrafty,518
Fletchling,306
Sandslash-Alolan,484
Espeon,509
Makuhita,1039
Octillery,501
Bunnelby,509
Oricorio-Sensu,507
Tapu Fini,157
Cutiefly,496
Chesnaught,351
Pansage,475
Tranquill,375
Simisage,477
Mega Metagross,156
Chikorita,346
Tropius,158
Rabsca,726
Happiny,687
Bewear,515
Mega Pidgeot,347
Swalot,1003
Jolteon,546
Mega Sableye,379
Venonat,496
Skiddo,469
Farigiraf,487
Starmie,172
Slakoth,147
Cherubi,486
Rockruff-Own Tempo,549
Oricorio-Pa'u,519
Kilowattrel,388
Gorebyss,1293
Snorunt,522
Cacturne,358
Beautifly,527
Pelipper,512
Zebstrika,502
Revavroom -Navi,519
Froslass,496
Cubone,485
Grimer,560
Doublade,494
Revavroom,493
Raging Bolt,165
Darmanitan-Galarian,382
Zygarde-10%,139
Grumpig,718
Shroomish,990
Shiftry,361
Mega Blaziken,368
Armaldo,1284
Grubbin,516
Buneary,509
Yamask,559
Pidgeotto,371
Decidueye-Hisuian,377
Klang,368
Mime Jr.,497
Sylveon,511
Cleffa,704
Eldegoss,489
Minun,540
Great Tusk,133
Muk-Alolan,480
Mega Altaria,1342
Blastoise,398
Duraludon,505
Rowlet,381
Staraptor,369
Morelull,518
Skeledirge,398
Fearow,483
Qwilfish,506
Ninetales,487
Taillow,360
Trumbeak,477
Castform-Snowy,518
Lunatone,733
Whiscash,472
Sawsbuck,460
Zigzagoon,542
Swirlix,538
Mienshao,366
Rotom-H,504
Palossand,518
Lickitung,467
Krokorok,364
Poliwhirl,357
Mega Scizor,496
Sunflora,383
Volbeat,1386
Grapploct,378
Haxorus,150
Raticate-Alolan,498
Wooper -Paldean,537
Altaria,1325
Klefki,753
Goldeen,501
Spinarak,742
Ducklett,509
Chandelure,328
Patrat,534
Spidops,1262
Polteageist,464
Clamperl,1308
Chien-Pao,131
Pikipek,508
Squawkabilly -Yellow/White,1265
Gourgeist-Large,483
Luxray,328
Huntail,1363
Charmeleon,347
Gengar,375
Rotom-W,469
Qwilfish-Hisuian,516
Loudred,379
Clobbopus,384
Parasect,494
Spheal,372
Skrelp,532
Larvitar,131
Lycanroc (Dusk),538
Baltoy,512
Corviknight,362
Garganacl,370
Xurkitree,156
Squawkabilly -Green/Blue,1225
Bronzor,550
Gouging Fire,144
Chimchar,334
Boltund,734
Spritzee,468
Castform-Rainy,494
Stonjourner,149
Surskit,468
Amoonguss,496
Yamper,722
Tyrantrum,530
Aegislash-Shield,524
Graveler-Alolan,337
Zangoose,1270
Zigzagoon-Galarian,482
Drilbur,495
Scolipede,355
Marowak-Alolan,489
Trevenant,509
Cottonee,512
Toxicroak,517
Umbreon,547
Vulpix-Alolan,508
Basculin (Blue-Striped),539
Magnemite,502
Carkol,330
Omastar,493
Porygon-Z,482
Veluza,714
Solosis,371
Metagross,149
Darmanitan Zen,341
Diglett-Alolan,502
Zapdos-Galarian,153
Palafin -Hero Form,155
Mega Manectric,147
Emolga,507
Igglybuff,719
Armarouge,159
Houndstone,343
Sudowoodo,488
Gligar,380
Cradily,1304
Heatmor,491
Pangoro,476
Eternamax Eternatus,146
Shieldon,1268
Plusle,482
Mega Sceptile,368
Lucario,402
Mew,387
Lurantis,512
Basculin (Red-Striped),527
Mega Gardevoir,141
Slowbro,571
Weezing,527
Arcanine-Hisuian,158
Kingdra,508
Darumaka,393
Quagsire,495
Aipom,714
Meowstic ♀,495
Wishiwashi-School,757
Meowstic ♂,509
Kangaskhan,476
Aegislash-Blade,527
Spiritomb,500
Quaxwell,349
Simisear,520
Weavile,352
Crustle,525
Pineco,507
Ledian,676
Bayleef,344
Slowking-Galarian,543
Lapras,157
Rattata,520
Giratina,126
Hariyama,1020
Staravia,410
Cherrim-Sunshine,510
Zweilous,153
Typhlosion,373
Zekrom,135
Bergmite,495
Simipour,494
Tirtouga,510
Timburr,386
Sigilyph,543
Clefairy,694
Buizel,530
Decidueye,383
Walking Wake,139
Charjabug,503
Scyther,541
Raichu,536
Sneasel,333
Exploud,371
Luxio,375
Darmanitan Zen-Galarian,373
Mimikyu,495
Minccino,727
Noivern,508
Oricorio-Pom Pom,500
Dusknoir,728
Terapagos -Stellar Form,136
Tyrogue,552
Necrozma-Dusk Mane,141
Delcatty,769
Pikachu,485
Glimmet,384
Arceus-Ghost,128
Mega Venusaur,379
Infernape,369
Bramblin,500
Overqwil,509
Cyclizar,357
Rotom-Mow,557
Feebas,1276
Wailord,954
Sneasel-Hisuian,363
Wooloo,513
Oshawott,387
Hydrapple,1323
Torchic,368
Fennekin,376
Rattata-Alolan,526
Horsea,531
Revavroom -Segin,525
Meowscarada,354
Dreepy,145
Enamorus-I,163
Melmetal,157
Mega Camerupt,495
Entei,152
Serperior,360
Tepig,346
Urshifu-Single Strike,158
Nuzleaf,369
Ninetales-Alolan,475
Golduck,511
Grimmsnarl,472
Karrablast,496
Herdier,373
Persian,528
Mega Mawile,678
Machop,384
Smeargle,754
Maushold,703
Combee,320
Victreebel,383
Mega Alakazam,369
Krookodile,387
Primal Kyogre,140
Tinkaton,362
Ursaluna -Bloodmoon,503
Azumarill,779
Wugtrio,527
Regigigas,143
Politoed,354
Magearna,165
Froakie,373
Duskull,737
Purrloin,497
Samurott,369
Lopunny,519
Natu,493
Ho-Oh,131
Tyranitar,146
Pidgey,368
Voltorb-Hisuian,536
Rolycoly,382
Swampert,368
Pidove,390
Oinkologne-M,499
Vikavolt,522
Hatterene,146
Noctowl,496
Seviper,1024
Smoochum,486
Lotad,347
Fomantis,505
Ambipom,762
Torterra,381
Runerigus,532
Bagon,149
Ogerpon -Wellspring Mask,141
Iron Crown,164
Omanyte,529
Tatsugiri,362
Cyndaquil,356
Lugia,124
Rayquaza,171
Slowpoke-Galarian,506
Bonsly,456
Toedscruel,351
Eiscue-Ice Face,155
Ponyta,523
Barbaracle,519
Audino,741
Spearow,484
Gastly,355
Pignite,369
Meowth,533
Carracosta,486
Meowth-Alolan,507
Voltorb,515
Magneton,509
Milcery,468
Floatzel,462
Dachsbun,387
Roselia,355
Kingambit,488
Dunsparce,486
Meloetta-Aria,141
Braviary,136
Elgyem,525
Swoobat,512
Flabébé,522
Terrakion,142
Salandit,503
Gliscor,360
Servine,397
Zacian,150
Slowpoke,526
Shroodle,385
Mega Gallade,143
Pawmi,493
Brambleghast,511
Marshadow,145
Scovillain,511
Hawlucha,518
Cascoon,492
Dwebble,502
Gourgeist-Super,475
Glalie,510
Venomoth,533
Stunfisk,531
Mudsdale,495
