Pokemon,Shiny Encounters
Shroomish,266
Wattrel,77
Swadloon,49
Skrelp,129
Tandemaus,111
Magnezone,13
Venonat,106
Spoink,203
Shellos,103
Nacli,116
Wiglett,145
Sandile,70
Swablu,373
Swirlix,108
Floette,53
Poochyena,145
Glalie,42
Smoochum,33
Bergmite,98
Meowth,142
Darmanitan Zen,30
Kabutops,31
Quagsire,54
Glameow,150
Gourgeist-Small,29
Ekans,133
Minun,104
Flaaffy,43
Bruxish,37
Rolycoly,93
Cosmog,7
Frillish,106
Spidops,177
Horsea,117
Kangaskhan,25
Grafaiai,37
Wooloo,138
Sandslash-Alolan,48
Finneon,259
Mega Aerodactyl,5
Numel,138
Trubbish,107
Muk-Alolan,45
Grotle,21
Yanma,38
Bidoof,169
Minccino,216
Applin,359
Clamperl,361
Klawf,86
Tympole,84
Remoraid,107
Grimer,102
Skwovet,137
Boldore,43
Cherrim-Overcast,120
Jolteon,27
Mega Audino,206
Slugma,94
Corvisquire,45
Spheal,91
Duskull,149
Pumpkaboo-Average,59
Parasect,41
Ponyta,106
Diglett,149
Naclstack,49
Meowth-Alolan,145
Pumpkaboo-Super,67
Spinarak,171
Whismur,60
Bronzong,44
Hariyama,231
Cherubi,91
Aggron,12
Lombre,49
Cufant,112
Necrozma-Dawn Wings,32
Mankey,110
Drifloon,151
Mienfoo,73
Yamask,115
Pineco,107
Pawmi,124
Fuecoco,19
Corphish,222
Silicobra,122
Cutiefly,115
Pawniard,73
Geodude,87
Pichu,108
Roselia,70
Emolga,103
Anorith,64
Crabrawler,116
Doublade,47
Clodsire,50
Sandaconda,58
Sandygast,91
Cubone,107
Espurr,94
Yamask-Galarian,97
Dusknoir,38
Flittle,44
Helioptile,101
Gothita,80
Scovillain,40
Raticate,71
Dodrio,16
Fomantis,106
Toedscruel,42
Snubbull,162
Palpitoad,57
Spewpa,74
Mega Mawile,34
Grubbin,116
Tirtouga,23
Kricketot,118
Rockruff-Own Tempo,128
Oddish,123
Terapagos -Stellar Form,36
Noibat,96
Raichu-Alolan,40
Shiftry,20
Sirfetch'd,29
Toedscool,80
Feebas,382
Mega Lucario,25
Shuppet,180
Ducklett,92
Darumaka-Galarian,49
Persian,41
Baltoy,175
Rattata,121
Spearow,146
Cursola,27
Sandshrew-Alolan,117
Ferroseed,142
Zangoose,146
Nickit,222
Scrafty,53
Arcanine,9
Hoppip,100
Honchkrow,14
Nosepass,153
Wingull,89
Delibird,35
Patrat,149
Hawlucha,59
Torterra,24
Simipour,44
Squawkabilly -Green/Blue,278
Quaxly,14
Stunfisk,42
Dedenne,101
Shedinja,68
Mega Manectric,4
Maractus,145
Purugly,52
Deerling,107
Maschiff,60
Lilligant-Hisuian,49
Masquerain,44
Goldeen,120
Beheeyem,30
Barboach,104
Mareanie,98
Binacle,55
Zubat,144
Milcery,113
Carracosta,30
Silcoon,80
Linoone-Galarian,42
Toxicroak,36
Meditite,124
Chingling,91
Purrloin,144
Blastoise,22
Pachirisu,125
Tangela,25
Shuckle,76
Rockruff,86
Natu,86
Spiritomb,62
Klefki,75
Marill,138
Golurk,65
Greavard,54
Ponyta-Galarian,124
Seviper,87
Mega Banette,29
Pansear,89
Tinkatink,84
Swampert,21
Claydol,55
Butterfree,21
Leavanny,34
Roggenrola,93
Sinistea,80
Vulpix,119
Mega Beedrill,29
Sewaddle,104
Bonsly,145
Karrablast,112
Togekiss,29
Magmortar,16
Banette,44
Breloom,93
Impidimp,142
Bellsprout,111
Terapagos,60
Ivysaur,14
Joltik,111
Mothim,18
Lunatone,32
Meowscarada,23
Ultra Necrozma,37
Chandelure,17
Rotom-Fan,26
Timburr,63
Spritzee,108
Cherrim-Sunshine,95
Cleffa,102
Herdier,53
Armaldo,62
Crobat,53
Rookidee,86
Fearow,49
Caterpie,157
Diglett-Alolan,141
Wormadam-Plant,31
Bramblin,106
Mega Sableye,15
Psyduck,107
Ambipom,30
Mega Lopunny,33
Comfey,70
Gulpin,228
Scizor,15
Flapple,59
Bellibolt,26
Hattrem,20
Teddiursa,54
Zigzagoon-Galarian,147
Buizel,104
Pawmo,65
Granbull,54
Poltchageist,64
Petilil,104
Foongus,113
Chinchou,25
Octillery,51
Basculin (Red-Striped),20
Excadrill,34
Bewear,36
Lairon,13
Skitty,183
Yamper,220
Eldegoss,42
Gossifleur,101
Snorunt,92
Plusle,99
Serperior,19
Linoone,38
Darumaka,44
Sandshrew,134
Tatsugiri,42
Mega Glalie,36
Slowpoke,101
Metapod,71
Accelgor,39
Pancham,144
Grapploct,27
Togetic,57
Avalugg,33
Kricketune,22
Kakuna,61
Komala,11
Pikipek,138
Golbat,74
Igglybuff,116
Mega Abomasnow,8
Swanna,29
Smoliv,104
Elgyem,146
Porygon,20
Solrock,44
Avalugg-Hisuian,27
Litwick,69
Buneary,96
Ariados,70
Rellor,129
Milotic,91
Vileplume,24
Raichu,35
Taillow,65
Dunsparce,102
Makuhita,189
Whimsicott,45
Dewpider,97
Machoke,46
Flabébé,113
Lotad,85
Fletchling,109
Hitmonlee,26
Pyroar,24
Arbok,60
Magikarp,32
Whirlipede,52
Castform,31
Ninjask,157
Mareep,104
Pheromosa,5
Voltorb,92
Meowth-Galarian,120
Morelull,115
Mismagius,41
Pidgey,94
Darmanitan Zen-Galarian,26
Illumise,143
Aegislash-Shield,24
Gurdurr,31
Jigglypuff,132
Krabby,121
Amoonguss,34
Gastly,62
Mudbray,112
Tsareena,16
Cosmoem,3
Pidgeotto,44
Azurill,135
Swalot,79
Chewtle,160
Eiscue-Noice Face,16
Weedle,129
Phanpy,75
Voltorb-Hisuian,100
Sunkern,95
Lillipup,95
Stoutland,15
Swellow,13
Lileep,60
Samurott-Hisuian,17
Charcadet,18
Drowzee,93
Litleo,81
Galvantula,42
Vikavolt,29
Chimchar,14
Drilbur,58
Kecleon,60
Nincada,354
Sylveon,24
Golisopod,33
Lickilicky,23
