Pokemon,Shiny Encounters
Oinkologne-F,41
Palossand,35
Lucario,18
Durant,55
Azumarill,62
Sunflora,45
Mightyena,71
Delcatty,49
Wynaut,85
Aegislash-Blade,26
Arrokuda,42
Ledyba,203
Ferrothorn,50
Lilligant,36
Bisharp,26
Oshawott,23
Mega Camerupt,83
Meganium,24
Blacephalon,5
Venusaur,14
Mega Alakazam,16
Umbreon,25
Clobbopus,70
Krokorok,49
Haxorus,7
Tentacool,26
Leafeon,23
Pikachu,91
Lycanroc (Midday),51
Koffing,99
Luvdisc,174
Lopunny,30
Unown,146
Revavroom -Navi,42
Morpeko,113
Beartic,34
Vulpix-Alolan,96
Shroodle,63
Dubwool,82
Terapagos -Terastal Form,45
Rotom-H,32
Volbeat,208
Smeargle,35
Farfetch'd-Galarian,24
Mega Swampert,17
Clefairy,108
Wishiwashi-Solo,65
Salandit,68
Skiddo,97
Basculegion-Female,24
Perrserker,46
Spinda,209
Steelix,11
Froslass,40
Wailmer,118
Boltund,36
Haunter,47
Gloom,51
Chikorita,23
Geodude-Alolan,112
Blitzle,112
Forretress,51
Watchog,148
Seel,103
Sliggoo,10
Wigglytuff,46
Tropius,37
Togedemaru,92
Shellder,31
Gengar,18
Cetitan,24
Squawkabilly -Yellow/White,274
Surskit,109
Glaceon,21
Brionne,24
Gastrodon,38
Porygon2,20
Pyukumuku,44
Lycanroc (Dusk),53
Abomasnow,6
Bunnelby,120
Scatterbug,149
Simisage,35
Grumpig,46
Trapinch,100
Tarountula,363
Florges,24
Magnemite,110
Golett,104
Yungoos,138
Basculegion-Male,22
Dolliv,49
Maushold,60
Cofagrigus,60
Wurmple,132
Cranidos,71
Hakamo-o,8
Shieldon,62
Celebi,21
Wooper -Paldean,131
Frosmoth,45
Corsola,53
Audino,200
Lechonk,157
Graveler,50
Bastiodon,62
Poliwag,92
Brambleghast,26
Gumshoos,63
Grimer-Alolan,96
Charjabug,54
Greninja,16
Chi-Yu,1
Coalossal,14
Heatmor,54
Kadabra,34
Slaking,6
Hydrapple,21
Sawsbuck,41
Woobat,120
Tadbulb,115
Machop,78
Pidove,117
Skeledirge,16
Revavroom -Ruchbah,40
Cinccino,47
Raticate-Alolan,64
Garganacl,19
Stonjourner,10
Revavroom -Caph,34
Squirtle,21
Marowak-Alolan,42
Darmanitan,31
Flygon,20
Zorua-Hisuian,30
Snover,15
Nidorino,48
Furret,55
Barbaracle,28
Cacnea,67
Budew,108
Gorebyss,92
Typhlosion,20
Obstagoon,36
Cradily,75
Sandslash,39
Sizzlipede,107
Dragalge,20
Klink,56
Donphan,44
Misdreavus,46
Charmander,21
Muk,44
Indeedee-Female,24
Thievul,94
Lickitung,31
Mr. Rime,16
Sentret,150
Varoom,110
Altaria,70
Dusclops,86
Dondozo,4
Tyrantrum,23
Crawdaunt,168
Mew,18
Carvanha,40
Nymble,123
Seedot,99
Escavalier,42
Panpour,97
Dustox,25
Scraggy,82
Bounsweet,94
Litten,18
Slakoth,49
Xatu,46
Meowstic ♀,38
Slurpuff,57
Hoothoot,143
Stunky,154
Trevenant,34
Wooper,130
Nidorina,44
Sableye,17
Golduck,36
Doduo,93
Grimmsnarl,24
Slowpoke-Galarian,108
Rattata-Alolan,136
Dwebble,110
Dottler,71
Oricorio-Pom Pom,22
Charmeleon,21
Bronzor,138
Growlithe-Hisuian,44
Corviknight,17
Pangoro,39
Cottonee,114
Weezing-Galarian,32
Incineroar,24
Alomomola,61
Necrozma,43
Shinx,106
Ledian,52
Exeggutor,6
Wishiwashi-School,70
Klinklang,7
Minior-Core,13
Wimpod,53
Shiinotic,36
Cetoddle,59
Mawile,36
Pumpkaboo-Small,64
Rufflet,29
Wormadam-Trash,17
Farigiraf,29
Darmanitan-Galarian,39
Bellossom,17
Stufful,87
Prinplup,11
Cubchoo,70
Piloswine,14
Nidoran♂,80
Alcremie,73
Bouffalant,17
Wobbuffet,32
Seadra,34
Munna,146
Drifblim,58
Nidoqueen,28
Mandibuzz,2
Dewgong,39
Electrode-Hisuian,34
Braviary-Hisuian,7
Trumbeak,78
Mega Charizard Y,21
Honedge,105
Sigilyph,23
Wailord,76
Bibarel,74
Burmy,55
Rotom,26
Blissey,22
Machamp,25
Camerupt,81
Cascoon,62
Roserade,32
Jellicent,31
Phantump,64
Mega Charizard X,21
Shelmet,96
Alakazam,17
Carnivine,31
Noctowl,68
Thwackey,10
Gourgeist-Super,38
Snom,103
Seaking,34
Staravia,49
Hatenna,34
Frogadier,11
Gothitelle,13
Turtonator,45
Zigzagoon,133
Croagunk,67
Gible,7
Inkay,93
Rotom-F,23
Weezing,33
Poliwrath,23
Electivire,17
Fletchinder,39
Zweilous,6
Crustle,31
Ninetales-Alolan,32
Jynx,27
Ribombee,40
Gogoat,35
Weepinbell,36
Aipom,47
Centiskorch,34
Yveltal,10
Druddigon,23
Oinkologne-M,61
Huntail,93
Lumineon,106
Iron Jugulis,4
Blipbug,124
Simisear,41
Vivillon,24
Runerigus,41
Mega Kangaskhan,21
Kirlia,21
Gourgeist-Large,32
Politoed,15
Piplup,17
Eternatus,40
Skiploom,52
Capsakid,101
Dipplin,39
Loudred,50
Chimecho,30
Rapidash-Galarian,30
Gourgeist-Average,24
Mega Medicham,47
Swoobat,26
Castform-Rainy,26
Deoxys-Attack,2
Clefable,21
Venipede,104
Decidueye-Hisuian,21
Togepi,141
Froakie,14
Raboot,18
Combee,43
Mega Blastoise,18
Kingambit,12
Empoleon,19
Swinub,32
Moltres,1
Zebstrika,53
Mega Sharpedo,14
Walrein,15
Abra,74
Annihilape,25
Inteleon,11
Happiny,109
Probopass,35
Eevee,26
Lycanroc (Midnight),48
Mr. Mime,21
Sawk,19
Cloyster,8
Slowbro,35
Arctovish,11
Sinistcha,33
Dugtrio,28
Wormadam-Sandy,27
Quaxwell,20
Servine,19
Great Tusk,8
Volcarona,5
Toxapex,44
Nidoking,18
Tinkatuff,35
Lampent,34
Morgrem,60
Dachsbun,37
Scyther,20
Pinsir,9
Gothorita,33
Fidough,85
Poliwhirl,50
Nuzleaf,41
Celesteela,5
Sneasel,21
Houndstone,25
Yanmega,16
Graveler-Alolan,49
Pincurchin,48
Aurorus,24
Pumpkaboo-Large,70
Barraskewda,15
Beautifly,24
Shaymin-Sky form,10
Exeggcute,12
Corsola-Galarian,60
Iron Bundle,9
Pidgeot,14
Turtwig,16
Ash-Greninja,15
Samurott,19
Cacturne,33
Diggersby,75
Conkeldurr,23
Typhlosion-Hisuian,16
Slowking-Galarian,42
Paras,106
Tinkaton,22
Solgaleo,10
Krookodile,14
Copperajah,42
Marowak,33
Slowbro-Galarian,46
Gligar,22
Torracat,18
Ursaring,37
Oricorio-Baile,27
Mabosstiff,27
Persian-Alolan,45
Snivy,7
Charizard,13
Decidueye,13
Meowstic ♂,28
Mime Jr.,104
Orbeetle,30
Nidoran♀,96
Dragonite,14
Oranguru,8
Duraludon,22
Rampardos,72
Rotom-Mow,23
Carkol,54
Skuntank,27
Dartrix,20
Revavroom,33
Electrike,17
Araquanid,49
Dugtrio-Alolan,24
Rhydon,7
Crabominable,36
Starly,100
Eelektrik,20
Starmie,12
Braixen,24
Hypno,43
Mega Ampharos,16
Ninetales,43
Mega Slowbro,40
Aromatisse,61
Brute Bonnet,8
Mega Aggron,7
Noivern,17
Luxray,18
Falinks,31
Appletun,63
Magmar,22
Eiscue-Ice Face,11
Vanillite,51
Dewott,18
Rapidash,34
Slowking,37
Aron,27
Zoroark-Hisuian,12
Sealeo,44
Porygon-Z,13
Sceptile,19
Staryu,39
Venomoth,49
Rabsca,32
Drampa,43
Gliscor,8
Oricorio-Pa'u,28
Veluza,87
Rotom-W,26
Kleavor,8
Vibrava,42
Floatzel,43
Cyclizar,77
Seismitoad,22
Unfezant,16
Mudsdale,28
Elekid,24
Mega Blaziken,21
Garbodor,31
Vespiquen,10
Reuniclus,14
Wartortle,20
Malamar,37
Mega Heracross,8
Flamigo,50
Medicham,50
Vaporeon,21
Emboar,20
Toxel,27
Steenee,52
Mega Altaria,61
Primarina,19
Pansage,92
Mienshao,18
Rowlet,17
Dracozolt,8
Omanyte,20
Finizen,34
Scorbunny,24
Hitmontop,24
Vullaby,30
Wugtrio,23
Nihilego,9
Iron Thorns,4
Popplio,26
Eternamax Eternatus,39
Archaludon,6
Delphox,23
Staraptor,15
Combusken,22
Mega Garchomp,8
Espathra,21
Beedrill,20
Riolu,40
Rayquaza,5
Sudowoodo,34
Archen,26
Mega Gallade,10
Chansey,28
Sobble,13
Weavile,22
Zorua,32
Mudkip,15
Tyrogue,41
Electrode,34
Solosis,69
Sprigatito,24
Throh,19
Dudunsparce,19
Shaymin,14
Infernape,14
Treecko,21
Ditto,23
Revavroom -Schedar,28
Guzzlord,9
Cramorant,34
Growlithe,25
Sliggoo-Hisuian,7
Ralts,26
Golem-Alolan,15
Beldum,1
Hippowdon,12
Mega Venusaur,24
Drednaw,27
Polteageist,31
Girafarig,29
Gyarados,4
Sneasel-Hisuian,25
Indeedee-Male,30
Mimikyu,29
Fraxure,9
Magcargo,48
Fezandipiti,1
Tentacruel,11
Clauncher,36
Mega Sceptile,12
Vanillish,13
Tranquill,37
Mega Gengar,18
Goodra,6
Bombirdier,7
Primeape,38
Furfrou,87
Salazzle,23
Musharna,62
Kingdra,31
Bulbasaur,14
Jangmo-o,7
Scolipede,15
Bagon,4
Cyndaquil,15
Keldeo,1
Ampharos,22
Tepig,14
Greedent,47
Totodile,18
Relicanth,5
Roaring Moon,3
Monferno,17
Quilava,13
Luxio,44
Necrozma-Dusk Mane,36
Chesnaught,18
Pelipper,21
Basculin (White-Striped),9
Qwilfish-Hisuian,23
Whiscash,31
Oricorio-Sensu,29
Sandy Shocks,7
Marshtomp,18
Lurantis,34
Chatot,11
Mega Rayquaza,7
Pawmot,22
Chespin,15
Skorupi,13
Arceus-Grass,1
Magneton,29
Kingler,28
Rhyhorn,15
Archeops,15
Pignite,26
Rhyperior,5
Kabuto,26
Tauros,6
Goomy,5
Xurkitree,7
Mega Pidgeot,12
Crocalor,21
Gigalith,16
Mega Steelix,16
Pupitar,9
Quaquaval,19
Omastar,25
Ursaluna,14
Passimian,5
Exploud,15
Grovyle,21
Giratina,1
Mega Absol,9
Heliolisk,34
Klang,20
Quilladin,26
Naganadel,5
Mr. Mime-Galarian,31
Zoroark,11
Duosion,31
Castform-Sunny,15
Xerneas,3
Iron Moth,5
Lokix,17
Frigibax,7
Poipole,5
Carbink,9
Overqwil,28
Axew,12
Houndour,21
Munchlax,6
Espeon,25
Primal Kyogre,1
Mega Salamence,5
Farfetch'd,19
Qwilfish,18
Ursaluna -Bloodmoon,9
Dracovish,8
Drizzile,22
Vigoroth,14
Hitmonchan,20
Gholdengo,4
Blaziken,17
Palafin -Zero Form,12
Hatterene,8
Kartana,5
Toucannon,14
Magby,25
Mega Gyarados,5
Rillaboom,14
Lunala,10
Regieleki,1
Tyranitar,6
Lanturn,4
Glimmet,29
Zacian-Crowned,3
Scream Tail,8
Grookey,18
Liepard,40
Kilowattrel,33
Castform-Snowy,20
Revavroom -Segin,39
Jumpluff,20
Braviary,5
Arboliva,9
Houndoom,6
Flareon,20
Floragato,14
Torkoal,50
Mamoswine,11
Tynamo,19
Drapion,9
Electabuzz,24
Tauros (blaze),4
Onix,14
Vanilluxe,3
Raging Bolt,2
Gimmighoul,5
Sharpedo,12
Palkia-Orgin,1
Tyrunt,27
Aerodactyl,8
Garchomp,7
Dragapult,7
Torchic,17
Dhelmise,9
Talonflame,23
Croconaw,17
Fennekin,13
Mega Pinsir,7
Gallade,9
Clawitzer,6
Kubfu,2
Tauros (Aqua),4
Larvitar,5
Flutter Mane,4
Phione,3
Feraligatr,9
Larvesta,9
Mega Houndoom,8
Golem,20
Dratini,5
Mantyke,3
Hydreigon,6
Snorlax,5
Cryogonal,15
Tauros (combat),5
Mega Tyranitar,5
Orthworm,5
Hippopotas,17
Genesect,1
Ceruledge,5
Shelgon,3
Wyrdeer,2
Salamence,9
Victreebel,17
Cinderace,17
Heracross,7
Iron Hands,8
Absol,7
Arctibax,1
Basculin (Blue-Striped),7
Palafin -Hero Form,9
Tangrowth,10
Kommo-o,8
Bayleef,15
Slither Wing,4
Eelektross,7
Ludicolo,11
Manectric,10
Dreepy,7
Stantler,6
Mega Diancie,1
Ogerpon -Wellspring Mask,1
Mantine,2
Gabite,6
Silvally-Steel,1
Jirachi,1
Stakataka,3
Deoxys-Defense,1
Toxtricity,18
Amaura,19
Lapras,3
Zamazenta-Crowned,1
Walking Wake,2
Miltank,3
Mega Scizor,13
Minior-Meteor,14
Mega Gardevoir,6
Sneasler,5
Iron Crown,2
Volcanion,1
Skarmory,2
Murkrow,8
Deino,6
Marshadow,1
Iron Treads,4
Iron Boulder,2
Silvally-Normal,1
Arceus-Fighting,2
Goodra-Hisuian,2
Groudon,1
Ogerpon -Cornerstone Mask,2
Buzzwole,4
Mega Metagross,1
Zacian,3
Armarouge,6
Arceus-Steel,1
Articuno,2
Arceus-Poison,1
Glimmora,7
Arctozolt,5
Tapu Lele,2
Arcanine-Hisuian,3
Drakloak,5
Mega Mewtwo Y,1
Gouging Fire,2
Landorus-T,1
Cresselia,1
Regidrago,1
Exeggutor-Alolan,4
Articuno-Galarian,1
Giratina-Origin,1
Ting-Lu,1
Iron Valiant,1
Zarude,1
Dragonair,4
Gardevoir,3
Tornadus-I,1
Zekrom,1
Latios,1
Zapdos-Galarian,1
Silvally-Fighting,1
Dialga,1
Thundurus-I,1
Reshiram,1
Silvally-Grass,1
Victini,1
Ogerpon -Hearthflame Mask,1
Azelf,1
Darkrai,1
Zygarde-Complete,1
