Pokemon,Shiny Encounters
Shinx,3
Joltik,1
Sharpedo,1
Beedrill,2
Flareon,1
Floette,1
Rookidee,2
Hariyama,9
Pineco,2
Teddiursa,3
Corphish,8
Makuhita,2
Tinkatuff,3
Ducklett,2
Mega Altaria,1
Pikipek,9
Doduo,3
Riolu,1
Exploud,1
Zebstrika,1
Scovillain,1
Ponyta,3
Unown,2
Sewaddle,3
Smoochum,1
Clamperl,13
Furfrou,2
Igglybuff,1
Spewpa,4
Herdier,2
Spinda,3
Spinarak,3
Applin,9
Cyclizar,2
Solosis,2
Indeedee-Male,2
Mega Pinsir,1
Munna,2
Skrelp,4
Tarountula,13
Wugtrio,1
Nacli,1
Wooloo,5
Rattata-Alolan,3
Naclstack,2
Feebas,3
Gossifleur,2
Cacnea,3
Pawmi,6
Scraggy,3
Gengar,2
Numel,2
Capsakid,3
Squawkabilly -Yellow/White,7
Darumaka,1
Servine,1
Masquerain,4
Probopass,1
Marill,2
Psyduck,2
Vanillite,2
Drilbur,1
Skwovet,4
Indeedee-Female,1
Sealeo,2
Electabuzz,2
Darmanitan Zen,1
Mudbray,2
Starly,2
Zigzagoon,3
Bronzor,4
Bergmite,3
Shellos,2
Inkay,3
Blipbug,3
Wiglett,2
Rotom-F,1
Shellder,2
Sylveon,2
Dachsbun,1
Azurill,1
Lombre,2
Squawkabilly -Green/Blue,9
Venonat,3
Duskull,6
Voltorb-Hisuian,3
Lotad,2
Aipom,1
Metapod,2
Alomomola,2
Nosepass,4
Chewtle,3
Tirtouga,2
Morelull,4
Loudred,2
Oddish,2
Greedent,3
Swablu,8
Linoone,2
Wailord,2
Foongus,1
Darmanitan Zen-Galarian,1
Bastiodon,1
Cinccino,3
Rattata,6
Burmy,2
Rolycoly,2
Purrloin,2
Nymble,5
Espeon,2
Tyrogue,3
Rellor,4
Happiny,2
Bunnelby,4
Medicham,2
Beheeyem,1
Electivire,4
Carnivine,3
Nickit,3
Tadbulb,4
Durant,1
Tentacool,1
Rampardos,1
Dwebble,2
Yamper,7
Dewpider,2
Mega Aerodactyl,1
Kirlia,1
Dunsparce,2
Raichu,3
Spheal,2
Barboach,1
